id,y1,y2,y3,y4,gen,race,birth_year,age,income
370,20,35,30,20,0,1,1981,16,127076.25
371,0,100,0,0,1,1,1982,15,16200
372,0,100,100,100,0,1,1983,14,43645.4545454545
373,10,0,5,99,1,1,1984,13,31750
374,70,90,20,50,1,0,1981,16,24389.375
375,10,5,,0,0,1,1982,15,8000
376,50,50,0,50,0,1,1981,16,62142.8571428571
377,0,0,50,0,1,1,1984,13,21750
378,65,75,50,50,0,1,1984,13,34642.8571428572
379,90,,,,1,1,1980,17,
380,100,99,50,90,0,0,1983,14,
381,,100,,,0,1,1980,17,
382,,89,50,0,1,0,1980,17,31285.7142857143
383,100,,,,1,0,1984,13,
384,100,20,100,100,0,1,1983,14,8500
385,100,1,0,0,0,1,1981,16,34363.4444444445
386,5,50,100,0,0,1,1980,17,62937.8
387,100,0,100,50,1,1,1983,14,10361
388,100,100,100,100,1,1,1982,15,7783.33333333333
389,30,90,,98,1,0,1981,16,
390,0,0,0,20,1,0,1983,14,27935.7142857143
391,50,50,0,,0,0,1980,17,52000
392,50,0,50,75,0,1,1980,17,27115.3846153846
393,80,99,100,100,0,1,1983,14,14818.1818181818
394,90,30,100,95,0,1,1984,13,55178.5714285714
395,0,100,100,100,0,0,1984,13,21821.4285714286
396,50,80,0,99,0,0,1983,14,29392.8571428571
397,100,,100,0,0,1,1982,15,19000
398,100,100,80,25,0,1,1980,17,47000
399,75,50,50,,0,1,1980,17,
400,75,100,99,50,1,1,1982,15,50681
401,65,20,50,0,0,0,1984,13,12883.3333333333
402,100,50,85,99,1,0,1984,13,31333.3333333333
403,0,45,30,1,1,1,1984,13,7680
404,100,0,50,90,0,0,1980,17,36416.6666666667
405,75,0,10,60,0,0,1981,16,9333.33333333333
406,99,100,80,75,1,0,1983,14,14500
407,0,10,100,50,1,1,1981,16,10900
408,100,100,1,100,0,1,1980,17,30946.6666666667
409,0,0,50,50,1,1,1980,17,22357.1428571429
410,6,,100,5,0,1,1980,17,5850
411,0,50,0,50,1,1,1980,17,12383.3333333333
412,0,0,100,0,0,1,1982,15,10333.3333333333
413,0,0,89,100,0,1,1980,17,25236.6666666667
414,0,0,5,,1,1,1980,17,10000
415,80,90,99,90,1,0,1981,16,49571.4285714286
416,50,75,50,50,1,0,1980,17,115458.666666667
417,,90,100,100,1,0,1983,14,67166.6666666667
418,50,,75,0,0,0,1983,14,78333.3333333333
419,70,50,50,70,0,0,1984,13,20562.5
