y1,y2,y3,y4,gen,race,income
90,1,50,40,1,0,10.075427916894
100,100,50,0,1,0,10.2347133164974
,,,80,1,0,9.18440157839678
98,95,50,75,0,0,9.56463891080531
75,75,100,100,1,0,10.2698921206533
0,20,1,1,1,1,10.4219603491194
85,0,100,,0,1,9.60205541539191
0,0,0,,0,1,9.40952073351462
80,,,80,0,0,10.0939424426867
100,,,,0,0,9.86088936578011
1,,,,0,0,10.2671779172449
100,90,80,100,0,0,10.3829164293622
100,100,75,100,0,0,9.82092848892113
25,,,,0,0,10.2142018778749
50,,,,0,0,10.205642409457
100,,100,,1,0,9.77550645058524
1,50,0,50,0,0,10.7634744987229
98,100,10,0,1,0,10.2017725171351
100,90,,100,1,0,10.4653754490798
99,50,70,20,1,0,9.22939769062521
80,50,99,99,1,0,9.82335851761795
100,75,75,,0,0,9.29456248696113
99,99,100,99,0,0,9.82337901524752
85,,90,,0,0,11.0589889672799
85,50,100,0,0,0,11.0269909268736
90,50,,80,0,0,10.5367684765377
95,,50,100,1,0,9.71192928802575
100,100,100,100,1,0,10.1212820164973
0,100,69,0,0,0,9.77154167623788
90,95,95,92,1,0,9.2379485282909
100,100,,,0,1,9.82166449786401
100,,100,,1,0,9.22350847062546
50,100,99,100,1,0,10.1829182957538
0,10,40,0,0,1,10.5523276054793
85,60,,20,0,1,9.91924433957652
50,75,50,50,0,1,10.3741841934312
56,20,0,,0,1,9.8160118678746
25,0,1,0,1,0,9.51837409357333
100,100,100,100,1,1,8.05777421668113
75,20,40,40,1,1,8.79450892606468
0,0,0,30,0,1,8.40677538386988
100,0,100,100,1,1,10.4094034179862
0,0,99,0,0,1,9.53724898413399
0,0,0,0,1,1,8.31767782349369
75,0,,,0,0,8.56763495525534
75,25,70,50,0,0,11.1702758410306
100,0,75,50,0,0,9.86571236028015
100,0,0,0,1,1,10.2923017470918
100,100,50,50,0,1,10.0709415844354
99,0,2,0,1,1,10.0074089133794
0,0,,,1,1,9.59514397596655
3,30,30,100,0,1,9.33141879532943
100,,,50,1,1,10.2845226369066
50,,,0,0,1,8.28269110865681
0,0,90,75,1,0,10.5176211987497
100,0,0,0,0,0,11.0060109363723
99,100,99,100,1,0,9.53332882034781
0,,,100,0,1,8.82069436042526
0,0,100,0,0,1,10.5681210443584
0,100,100,,1,0,9.24705322193602
100,90,90,95,1,0,9.34737607242205
50,100,100,95,1,1,9.27702155364051
100,100,,,0,0,11.086264757671
50,100,,,1,0,9.78774584185604
5,0,0,,0,0,9.51618980280711
90,95,80,100,1,0,10.5108481367866
90,100,90,85,0,0,10.3127910116377
90,75,70,50,1,0,10.1957171427603
90,,0,,1,0,10.4733657557159
95,50,50,,1,0,10.1520345381199
100,100,100,,0,0,10.1587445427102
80,,50,50,1,0,9.84900892853709
88,0,0,,1,0,10.7321920425417
0,0,0,40,1,0,9.74317100863054
45,50,45,70,0,0,10.5505316012606
50,50,0,0,0,1,10.0705221725865
