id,a13,a14,a15,a16,a17,a18,a19,a20,gen,race,income,birth_year,age
185,,,,50,50,0,0,,0,1,9.9222485456085,1981,16
186,,0,0,0,100,,,,1,0,9.18420985486798,1983,14
187,,96,99,99,99,,,,0,1,10.5294104922555,1983,14
188,,,,,95,0,0,,1,0,9.86561010968589,1980,17
189,100,100,65,15,,,,,1,0,10.2242784347504,1984,13
190,,70,0,50,100,,,,0,0,9.76575596218163,1983,14
191,,,95,98,75,,,,0,0,10.2100213237729,1982,15
192,,,50,100,50,0,,,1,1,9.46908150369303,1982,15
193,,,,90,100,,10,,1,1,9.87721215719353,1981,16
194,,,,,99,0,100,100,1,1,10.1912713995711,1980,17
195,,2,0,99,10,,,,0,1,9.14522831401182,1983,14
196,0,75,,,,,,,0,1,9.42868434528697,1984,13
197,,,,,,,,,1,0,10.2648395569665,1981,16
198,,,,,,100,100,100,1,0,10.0953871412581,1980,17
199,,,80,0,40,25,,,0,0,9.96751650384383,1982,15
200,,,,,90,100,100,85,0,0,10.4445129758739,1980,17
201,,95,70,85,90,,,,1,0,10.0903650326946,1983,14
202,,,0,100,0,0,,,0,0,10.2492464628694,1982,15
203,0,90,0,100,,,,,1,0,10.5662441239998,1984,13
204,,,,100,100,100,100,,1,0,10.5545798152256,1981,16
205,,100,0,99,0,,,,1,0,9.7511797098121,1983,14
206,,,100,100,100,0,,,0,0,10.455592415685,1982,15
207,,,,60,100,100,80,,1,0,10.4590451587597,1981,16
208,0,0,20,50,,,,,1,0,10.3216984992709,1984,13
209,,95,80,10,10,,,,0,1,9.6900224073074,1983,14
210,100,100,20,100,,,,,0,1,10.2490238165076,1984,13
211,,,,,90,50,0,30,1,1,10.7256960334361,1980,17
212,,,,,50,80,90,90,0,1,10.8605383989787,1980,17
213,,,100,98,90,99,,,1,1,10.0374781386363,1982,15
214,,,0,0,0,0,,,1,1,10.4723019525945,1982,15
215,,,,75,75,50,0,,0,1,10.3871990730511,1981,16
216,,,,,0,0,100,100,1,1,10.532341353819,1980,17
217,,,0,25,,,,,1,1,9.71538689703731,1982,15
218,,25,0,50,99,,,,0,1,9.39371664783946,1983,14
219,,,100,99,99,90,,,0,1,9.33498837268933,1982,15
220,0,95,0,0,,,,,0,0,10.2666093756704,1984,13
221,99,70,80,78,,,,,1,0,9.73528968974305,1984,13
222,,,,75,50,10,0,,0,1,10.6683181338914,1981,16
