y1,y2,y3,y4,gen,race,income
10,0,100,100,1,0,47.1608681703206
95,0,100,0,0,0,52.0255938129315
100,0,100,0,0,1,56.7211388415785
85,95,80,80,0,0,46.8699370443208
50,0,60,100,1,0,52.77912591266
75,90,100,0,1,1,42.2797923934754
10,0,100,0,1,1,48.2490881099833
90,99,50,50,0,1,39.0813648423716
100,100,95,100,1,0,52.274077327801
90,100,100,100,1,1,43.6079103268783
50,0,30,10,0,0,52.4276127933695
90,75,50,0,0,0,53.0169067001015
25,50,50,95,0,0,48.900497643369
100,100,100,50,0,1,49.425764755553
85,99,75,0,1,1,49.7499637831763
0,100,75,75,0,0,53.347704721586
75,90,0,100,0,0,51.5040905565925
50,100,50,90,1,0,50.5480167109285
60,70,80,50,1,0,47.6072274929913
75,0,100,0,1,0,51.586492659976
75,50,0,50,1,0,50.8508489408565
30,50,99,50,0,0,52.447021567408
50,100,25,50,0,0,51.732082670356
0,100,100,90,0,1,52.8763169853485
0,1,100,100,1,1,53.152435436151
85,0,80,80,0,1,51.817184304257
0,0,0,0,0,0,52.820760179304
10,0,0,0,1,0,44.9144787044308
50,100,99,100,1,0,54.502292657972
100,80,99,50,0,1,52.592827163066
100,100,0,100,1,0,45.2105001163695
0,19,0,0,0,1,44.9192373450737
40,50,50,75,1,0,43.3693679999342
100,100,100,100,1,1,38.7594436570753
100,75,100,100,1,0,49.5902296816086
50,65,75,60,1,0,43.0679139462645
99,99,95,78,0,0,48.5162138834717
0,70,70,80,1,0,51.1105394841225
100,100,95,80,0,0,56.877496952078
50,65,50,50,0,0,56.937646179882
90,70,90,100,0,1,53.6375852669215
50,100,100,100,1,0,44.3219550057765
0,0,0,0,0,0,52.696201387957
0,60,80,90,1,0,54.2964217343055
100,75,100,70,0,1,50.5267942992725
50,0,50,85,0,1,52.59270661741
50,99,50,100,0,0,49.7886719010279
99,50,75,100,1,0,47.8336915197637
99,100,100,100,1,0,47.6705524266818
100,0,75,95,1,0,42.2899044085475
95,90,75,99,0,0,49.3069969530878
50,25,0,50,0,0,54.492505516132
95,100,100,100,0,0,46.0646625443868
100,0,0,100,0,0,57.353256379002
0,89,100,100,0,1,53.0246764755765
90,90,100,90,0,0,54.4977251396345
0,99,100,100,1,0,48.4494664782889
0,100,100,100,1,1,52.617007637424
