"PUBID","YSAQ-282C","YSAQ-282D","YSAQ-282E","YSAQ-282F","YSAQ-282G","YTEL-52~000001","YTEL-52~000002","YTEL-52~000003","YTEL-52~000004"
264,3,2,3,1,4,3,3,2,3
265,3,2,4,2,3,3,3,3,4
266,4,2,4,2,4,-4,-4,-4,-4
267,3,2,3,2,4,-4,-4,-4,-4
268,4,2,3,2,4,4,3,3,4
269,1,4,2,4,1,-5,-5,-5,-5
270,4,3,4,3,4,3,3,3,1
271,3,2,4,2,3,-4,-4,-4,-4
272,3,2,3,3,3,3,3,3,3
273,3,3,3,3,3,-5,-5,-5,-5
274,3,3,2,3,3,-4,-4,-4,-4
275,3,3,3,3,4,-5,-5,-5,-5
276,3,1,3,2,4,-4,-4,-4,-4
277,3,2,4,2,4,-5,-5,-5,-5
278,4,2,4,2,4,3,3,3,0
279,-5,-5,-5,-5,-5,-5,-5,-5,-5
280,3,3,3,3,3,-4,-4,-4,-4
281,4,1,3,3,4,3,2,3,2
282,4,1,4,1,4,-4,-4,-4,-4
283,4,2,4,2,4,-4,-4,-4,-4
284,4,2,4,2,4,-4,-4,-4,-4
285,4,2,3,2,4,-5,-5,-5,-5
286,3,2,3,2,4,-4,-4,-4,-4
287,2,3,3,3,4,3,4,3,4
288,3,2,3,2,3,-4,-4,-4,-4
289,2,3,2,3,3,-4,-4,-4,-4
290,4,2,4,2,4,-4,-4,-4,-4
291,3,3,3,2,4,-4,-4,-4,-4
292,3,2,3,2,4,-4,-4,-4,-4
293,4,2,4,1,4,-4,-4,-4,-4
294,4,3,3,3,4,-4,-4,-4,-4
295,3,2,3,2,4,-4,-4,-4,-4
296,3,1,2,1,1,-4,-4,-4,-4
297,3,3,3,3,3,-5,-5,-5,-5
298,3,2,3,2,4,-4,-4,-4,-4
299,-5,-5,-5,-5,-5,-4,-4,-4,-4
300,3,3,2,3,4,-4,-4,-4,-4
301,-5,-5,-5,-5,-5,-5,-5,-5,-5
302,-5,-5,-5,-5,-5,-5,-5,-5,-5
303,3,1,4,2,4,-5,-5,-5,-5
304,3,2,3,2,4,3,1,2,3
305,3,2,4,2,4,-4,-4,-4,-4
306,4,2,4,1,4,-5,-5,-5,-5
307,3,2,3,2,4,-4,-4,-4,-4
308,4,1,4,1,4,-5,-5,-5,-5
309,-5,-5,-5,-5,-5,-5,-5,-5,-5
310,-5,-5,-5,-5,-5,-5,-5,-5,-5
311,4,2,3,2,4,-4,-4,-4,-4
312,3,3,3,4,2,-4,-4,-4,-4
313,3,2,3,2,3,-4,-4,-4,-4
314,3,3,3,3,4,-4,-4,-4,-4
315,2,4,2,3,4,-4,-4,-4,-4
316,-5,-5,-5,-5,-5,-4,-4,-4,-4
317,-5,-5,-5,-5,-5,3,2,3,4
318,3,2,4,1,4,-5,-5,-5,-5
319,-5,-5,-5,-5,-5,-5,-5,-5,-5
320,3,2,3,3,3,-5,-5,-5,-5
321,2,3,3,3,3,-4,-4,-4,-4
322,2,3,3,3,3,4,1,4,0
323,1,3,2,3,2,3,1,3,1
324,4,2,4,2,4,-5,-5,-5,-5
325,3,2,4,2,4,-4,-4,-4,-4
326,3,3,3,2,4,4,4,4,1
327,2,3,3,3,4,-4,-4,-4,-4
328,4,2,3,2,4,-5,-5,-5,-5
329,3,3,3,3,3,-4,-4,-4,-4
330,-5,-5,-5,-5,-5,-5,-5,-5,-5
331,-5,-5,-5,-5,-5,-4,-4,-4,-4
332,3,3,3,3,3,-4,-4,-4,-4
333,2,4,3,3,4,-4,-4,-4,-4
334,3,3,4,2,4,-4,-4,-4,-4
335,4,2,4,2,4,-5,-5,-5,-5
336,3,3,3,2,4,-4,-4,-4,-4
337,2,3,3,2,4,3,2,2,1
338,3,3,3,2,4,-4,-4,-4,-4
339,4,2,3,2,4,-4,-4,-4,-4
340,4,3,3,3,4,1,3,4,1
341,3,3,2,3,2,4,3,3,3
342,4,2,4,2,4,-4,-4,-4,-4
343,4,2,3,3,4,3,3,3,3
344,3,3,3,3,4,-4,-4,-4,-4
345,2,2,2,2,2,-4,-4,-4,-4
346,4,2,4,2,4,-5,-5,-5,-5
347,4,2,4,1,4,-4,-4,-4,-4
348,4,2,3,1,4,-4,-4,-4,-4
349,4,2,3,1,2,-4,-4,-4,-4
350,2,3,3,2,4,-5,-5,-5,-5
351,4,2,4,2,4,-5,-5,-5,-5
352,-5,-5,-5,-5,-5,-5,-5,-5,-5
353,3,4,3,3,3,-5,-5,-5,-5
354,3,3,3,2,4,-4,-4,-4,-4
355,3,2,3,3,4,-4,-4,-4,-4
356,1,3,3,3,3,-4,-4,-4,-4
357,3,2,3,2,4,-4,-4,-4,-4
358,2,3,3,2,4,4,4,3,2
359,3,2,3,2,4,3,4,3,3
360,4,2,4,2,4,-5,-5,-5,-5
361,-5,-5,-5,-5,-5,-5,-5,-5,-5
362,4,2,3,2,4,4,-2,3,-2
363,4,2,4,2,4,-4,-4,-4,-4
364,3,3,3,2,4,-4,-4,-4,-4
365,4,3,3,3,3,-4,-4,-4,-4
366,3,2,4,2,4,-4,-4,-4,-4
367,4,2,3,2,4,3,3,1,3
368,2,3,3,2,3,-4,-4,-4,-4
369,4,2,3,2,4,-5,-5,-5,-5
370,3,2,3,3,3,-5,-5,-5,-5
371,-5,-5,-5,-5,-5,-4,-4,-4,-4
372,3,2,4,2,4,-4,-4,-4,-4
373,3,3,2,1,4,-4,-4,-4,-4
374,3,2,3,2,4,-4,-4,-4,-4
375,-5,-5,-5,-5,-5,-5,-5,-5,-5
376,4,2,3,2,4,4,4,4,1
377,3,2,3,1,3,-5,-5,-5,-5
378,3,2,3,2,4,-4,-4,-4,-4
379,-5,-5,-5,-5,-5,-5,-5,-5,-5
380,-5,-5,-5,-5,-5,-5,-5,-5,-5
381,-5,-5,-5,-5,-5,4,3,4,3
382,2,3,3,2,3,-4,-4,-4,-4
383,-5,-5,-5,-5,-5,-5,-5,-5,-5
384,3,2,3,2,3,-5,-5,-5,-5
385,2,3,2,3,3,-4,-4,-4,-4
386,2,3,4,2,4,-4,-4,-4,-4
387,3,3,4,1,3,-4,-4,-4,-4
388,3,3,3,3,2,-5,-5,-5,-5
389,-5,-5,-5,-5,-5,-5,-5,-5,-5
390,3,3,3,3,3,-4,-4,-4,-4
391,-5,-5,-5,-5,-5,3,3,2,3
392,3,2,3,2,4,-4,-4,-4,-4
393,3,2,3,1,4,-4,-4,-4,-4
394,4,2,3,2,4,4,1,4,2
395,4,2,3,1,4,-4,-4,-4,-4
396,3,3,3,3,4,-4,-4,-4,-4
397,4,2,3,2,4,-4,-4,-4,-4
398,4,1,4,3,3,4,3,4,1
399,-5,-5,-5,-5,-5,-5,-5,-5,-5
400,-5,-5,-5,-5,-5,-5,-5,-5,-5
401,3,2,3,2,4,-4,-4,-4,-4
402,3,2,3,2,4,3,3,3,3
403,2,2,2,3,3,-4,-4,-4,-4
404,3,2,3,2,4,3,3,2,1
405,3,3,3,2,4,-5,-5,-5,-5
406,4,2,3,2,4,-4,-4,-4,-4
407,2,1,2,1,3,-4,-4,-4,-4
408,4,2,3,2,3,-4,-4,-4,-4
409,3,4,3,3,4,-4,-4,-4,-4
410,3,3,3,3,4,-4,-4,-4,-4
411,3,4,2,4,3,1,4,4,1
412,3,3,3,2,3,-4,-4,-4,-4
413,4,2,4,2,4,-4,-4,-4,-4
414,-5,-5,-5,-5,-5,4,2,3,1
415,3,3,3,2,4,-4,-4,-4,-4
416,3,2,3,2,4,-4,-4,-4,-4
417,4,2,3,2,4,-4,-4,-4,-4
418,3,2,3,2,4,-5,-5,-5,-5
419,3,3,3,2,4,-4,-4,-4,-4
420,3,2,3,2,4,-4,-4,-4,-4
421,3,2,3,3,3,-4,-4,-4,-4
422,4,2,3,2,4,-4,-4,-4,-4
423,3,3,3,3,3,-4,-4,-4,-4
424,3,3,3,2,4,-4,-4,-4,-4
425,3,2,3,2,3,-4,-4,-4,-4
426,4,2,4,2,1,-4,-4,-4,-4
427,3,3,4,3,4,-5,-5,-5,-5
428,3,2,3,2,3,3,3,3,3
429,3,3,3,3,4,-4,-4,-4,-4
430,2,3,3,3,4,-4,-4,-4,-4
431,1,4,3,3,3,-4,-4,-4,-4
432,3,2,3,2,3,1,3,1,3
433,-5,-5,-5,-5,-5,3,4,3,1
434,4,2,4,2,4,-5,-5,-5,-5
435,-5,-5,-5,-5,-5,-4,-4,-4,-4
436,-5,-5,-5,-5,-5,-4,-4,-4,-4
437,3,2,4,2,4,-4,-4,-4,-4
438,3,1,3,2,3,-4,-4,-4,-4
439,4,1,2,3,3,-4,-4,-4,-4
440,3,2,4,2,4,-4,-4,-4,-4
441,4,1,3,1,4,-4,-4,-4,-4
442,3,2,4,2,4,-5,-5,-5,-5
443,3,1,4,1,4,-4,-4,-4,-4
444,3,3,4,2,4,4,3,3,3
445,1,2,2,3,3,-4,-4,-4,-4
446,3,3,3,2,4,-4,-4,-4,-4
447,2,2,2,1,3,-4,-4,-4,-4
448,2,3,2,3,2,3,1,3,1
449,-5,-5,-5,-5,-5,-5,-5,-5,-5
450,3,2,3,2,3,-4,-4,-4,-4
451,3,2,4,2,4,-4,-4,-4,-4
452,-5,-5,-5,-5,-5,-4,-4,-4,-4
453,-5,-5,-5,-5,-5,3,1,3,-2
454,4,2,4,2,4,-4,-4,-4,-4
455,4,2,3,2,4,-4,-4,-4,-4
456,3,2,3,3,4,4,1,4,0
457,3,3,3,2,4,-4,-4,-4,-4
458,4,2,3,2,3,-4,-4,-4,-4
459,4,3,3,2,4,-4,-4,-4,-4
460,2,3,3,3,3,-4,-4,-4,-4
461,3,2,4,2,2,3,3,3,1
462,4,2,3,2,4,3,3,3,3
463,4,2,3,3,4,-4,-4,-4,-4
464,4,3,3,3,4,-4,-4,-4,-4
465,4,3,3,3,4,-4,-4,-4,-4
466,3,3,4,2,4,-4,-4,-4,-4
467,3,2,3,3,4,-4,-4,-4,-4
468,3,1,3,1,3,3,3,3,1
469,3,2,3,2,4,-4,-4,-4,-4
470,3,3,4,2,2,-4,-4,-4,-4
471,4,2,4,2,4,-4,-4,-4,-4
472,3,3,3,2,4,-4,-4,-4,-4
473,-5,-5,-5,-5,-5,-4,-4,-4,-4
474,3,2,3,1,3,3,3,3,3
475,3,2,3,2,3,3,4,3,1
476,3,3,3,3,3,-4,-4,-4,-4
477,3,2,3,2,2,-4,-4,-4,-4
478,3,3,3,2,4,-4,-4,-4,-4
479,2,2,3,1,3,4,3,3,1
480,3,2,2,2,3,-4,-4,-4,-4
481,4,2,3,2,4,-4,-4,-4,-4
482,3,2,3,2,4,-4,-4,-4,-4
483,3,3,3,2,4,-4,-4,-4,-4
484,3,3,3,3,4,-4,-4,-4,-4
485,3,2,3,3,4,-4,-4,-4,-4
486,3,1,4,1,4,-4,-4,-4,-4
487,4,1,4,1,4,4,3,3,1
488,3,2,3,1,4,4,2,3,3
489,3,2,3,2,4,-5,-5,-5,-5
490,4,2,3,3,4,-4,-4,-4,-4
491,-5,-5,-5,-5,-5,-5,-5,-5,-5
492,4,2,3,2,4,-4,-4,-4,-4
493,-5,-5,-5,-5,-5,-5,-5,-5,-5
494,-5,-5,-5,-5,-5,-5,-5,-5,-5
495,-5,-5,-5,-5,-5,-5,-5,-5,-5
496,3,3,3,2,4,-4,-4,-4,-4
497,3,2,3,3,3,-5,-5,-5,-5
498,3,3,3,3,3,-4,-4,-4,-4
499,-5,-5,-5,-5,-5,-5,-5,-5,-5
500,-5,-5,-5,-5,-5,-5,-5,-5,-5
501,-5,-5,-5,-5,-5,-5,-5,-5,-5
502,-5,-5,-5,-5,-5,-5,-5,-5,-5
503,2,3,3,3,3,-4,-4,-4,-4
504,-5,-5,-5,-5,-5,-5,-5,-5,-5
505,2,3,2,3,3,-5,-5,-5,-5
506,-5,-5,-5,-5,-5,-5,-5,-5,-5
507,3,3,2,3,2,-4,-4,-4,-4
508,1,2,3,3,2,-4,-4,-4,-4
509,3,2,3,2,4,-4,-4,-4,-4
510,4,4,3,3,3,4,1,3,2
511,4,2,4,2,4,-4,-4,-4,-4
512,2,3,2,3,2,-4,-4,-4,-4
513,2,4,3,3,2,-4,-4,-4,-4
514,-5,-5,-5,-5,-5,-4,-4,-4,-4
515,2,3,3,2,3,4,3,4,3
516,3,2,4,2,4,-4,-4,-4,-4
517,2,3,4,2,4,-4,-4,-4,-4
518,3,3,2,2,3,-4,-4,-4,-4
519,3,2,4,1,4,-4,-4,-4,-4
520,4,2,4,2,4,3,3,3,3
521,3,4,4,3,3,-4,-4,-4,-4
522,2,3,2,3,4,4,3,3,3
523,3,3,3,3,3,-4,-4,-4,-4
524,3,2,4,2,4,4,3,3,1
525,3,2,3,2,4,-4,-4,-4,-4
526,3,2,3,2,4,-4,-4,-4,-4
527,4,3,3,3,4,-4,-4,-4,-4
528,4,2,3,2,4,3,3,3,2
529,2,3,3,2,4,-4,-4,-4,-4
530,4,3,3,2,4,4,1,4,1
531,3,2,3,3,4,-5,-5,-5,-5
532,-5,-5,-5,-5,-5,-5,-5,-5,-5
533,3,2,3,2,3,4,3,3,4
534,3,3,3,2,4,-4,-4,-4,-4
535,4,3,3,2,4,-4,-4,-4,-4
536,3,2,3,2,3,-4,-4,-4,-4
537,3,3,3,1,3,-4,-4,-4,-4
538,3,2,3,2,4,-4,-4,-4,-4
539,4,2,4,2,4,-5,-5,-5,-5
540,2,3,3,4,3,-4,-4,-4,-4
541,4,2,3,2,4,-5,-5,-5,-5
542,3,2,3,3,3,4,4,4,0
543,3,2,3,2,4,-4,-4,-4,-4
544,4,3,3,2,4,-4,-4,-4,-4
545,4,2,4,2,4,3,4,4,4
546,4,2,4,2,4,-4,-4,-4,-4
547,4,2,3,2,4,-4,-4,-4,-4
548,1,4,1,3,2,-4,-4,-4,-4
549,3,2,3,3,4,4,3,3,1
550,3,2,3,2,4,3,3,2,0
551,3,2,3,2,4,-4,-4,-4,-4
552,-5,-5,-5,-5,-5,-5,-5,-5,-5
553,-5,-5,-5,-5,-5,-5,-5,-5,-5
554,-5,-5,-5,-5,-5,-4,-4,-4,-4
555,3,2,3,2,4,-4,-4,-4,-4
556,3,3,3,2,4,-4,-4,-4,-4
557,2,3,3,2,4,-4,-4,-4,-4
558,3,3,3,2,3,-4,-4,-4,-4
559,3,3,3,3,4,-4,-4,-4,-4
560,4,3,3,3,3,-4,-4,-4,-4
561,2,3,3,3,3,4,4,3,3
562,3,3,3,2,4,-4,-4,-4,-4
563,2,4,4,4,4,-4,-4,-4,-4
564,4,3,3,2,3,-4,-4,-4,-4
565,4,1,3,1,4,-4,-4,-4,-4
566,3,2,3,2,4,-4,-4,-4,-4
567,-5,-5,-5,-5,-5,-5,-5,-5,-5
568,3,4,3,4,3,-4,-4,-4,-4
569,3,3,4,2,4,-5,-5,-5,-5
570,4,2,4,2,4,-5,-5,-5,-5
571,3,2,3,2,3,3,3,3,4
